-0.0000, 70.0000, -10.1452, -0.0000, 113.5963
-0.0000, 70.0000, -10.1452, 0.0050, 113.5963
-0.0000, 70.0000, -10.1452, 0.0100, 113.5963
0.0001, 70.0000, -10.1452, 0.0151, 113.5963
0.0000, 70.0000, -10.1452, 0.0201, 113.5963
0.0000, 70.0000, -10.1452, 0.0250, 113.5963
-0.0001, 70.0000, -10.1452, 0.0299, 113.5962
0.0000, 70.0000, -10.1452, 0.0350, 113.5962
-0.0000, 70.0000, -10.1452, 0.0400, 113.5962
-0.0000, 70.0000, -10.1452, 0.0450, 113.5962
-0.0000, 70.0000, -10.1452, 0.0499, 113.5962
0.0000, 70.0000, -10.1452, 0.0551, 113.5962
0.0000, 70.0000, -10.1452, 0.0600, 113.5962
0.0000, 70.0000, -10.1452, 0.0650, 113.5962
-0.0000, 70.0000, -10.1452, 0.0700, 113.5962
-0.0000, 70.0000, -10.1452, 0.0750, 113.5962
0.0001, 70.0000, -10.1452, 0.0801, 113.5962
-0.0000, 70.0000, -10.1452, 0.0849, 113.5962
-0.0000, 70.0000, -10.1452, 0.0899, 113.5962
-0.0001, 70.0000, -10.1452, 0.0949, 113.5962
0.0000, 70.0001, -10.1453, 0.1000, 113.5962
0.0000, 70.0001, -10.1453, 0.1050, 113.5962
-0.0000, 70.0001, -10.1453, 0.1100, 113.5962
-0.0000, 70.0001, -10.1453, 0.1150, 113.5962
0.0001, 70.0001, -10.1453, 0.1201, 113.5962
0.0000, 70.0001, -10.1453, 0.1251, 113.5962
0.0000, 69.9999, -10.1452, 0.1300, 113.5963
0.0000, 69.9999, -10.1452, 0.1350, 113.5963
0.0000, 69.9999, -10.1452, 0.1400, 113.5963
-0.0000, 69.9999, -10.1452, 0.1450, 113.5963
-0.0000, 69.9999, -10.1452, 0.1500, 113.5963
0.0000, 69.9999, -10.1452, 0.1549, 113.5963
0.0000, 69.9999, -10.1452, 0.1599, 113.5963
-0.0000, 69.9999, -10.1452, 0.1649, 113.5963
-0.0000, 70.0000, -10.1452, 0.1699, 113.5963
-0.0000, 70.0000, -10.1452, 0.1748, 113.5962
0.0000, 70.0000, -10.1452, 0.1799, 113.5962
0.0000, 70.0000, -10.1452, 0.1849, 113.5962
0.0000, 70.0000, -10.1452, 0.1899, 113.5962
-0.0000, 70.0000, -10.1452, 0.1949, 113.5962
0.0001, 70.0000, -10.1452, 0.2000, 113.5962
-0.0000, 70.0000, -10.1452, 0.2049, 113.5962
-0.0000, 70.0000, -10.1452, 0.2098, 113.5962
-0.0001, 70.0000, -10.1452, 0.2148, 113.5962
0.0000, 70.0001, -10.1453, 0.2199, 113.5961
0.0000, 70.0000, -10.1452, 0.2249, 113.5963
-0.0000, 70.0000, -10.1452, 0.2299, 113.5963
-0.0000, 70.0000, -10.1452, 0.2349, 113.5963
-0.0000, 70.0000, -10.1452, 0.2399, 113.5963
0.0000, 70.0000, -10.1452, 0.2450, 113.5963
0.0000, 70.0000, -10.1452, 0.2500, 113.5963
0.0000, 70.0000, -10.1452, 0.2549, 113.5963
-0.0001, 70.0000, -10.1452, 0.2598, 113.5962
0.0000, 70.0000, -10.1452, 0.2649, 113.5962
-0.0000, 70.0000, -10.1452, 0.2699, 113.5962
